Year,AGS,Nationalität,Gebietseinheit,GeoCode,Value
2009,0,Ausländerinnen und Ausländer,Niedersachsen,K030,2005
2010,101,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,87
2010,102,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,27
2010,103,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,45
2010,151,Ausländerinnen und Ausländer,Gifhorn,K03151,8
2010,153,Ausländerinnen und Ausländer,Goslar,K03153,32
2010,154,Ausländerinnen und Ausländer,Helmstedt,K03154,8
2010,155,Ausländerinnen und Ausländer,Northeim,K03155,35
2010,157,Ausländerinnen und Ausländer,Peine,K03157,26
2010,158,Ausländerinnen und Ausländer,Wolfenbüttel,K03158,23
2010,159,Ausländerinnen und Ausländer,Göttingen,K03159,127
2010,1,Ausländerinnen und Ausländer,Statistische Region Braunschweig,K031,418
2010,241,Ausländerinnen und Ausländer,Hannover  Region,K03241,397
2010,241001,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,258
2010,241999,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,139
2010,251,Ausländerinnen und Ausländer,Diepholz,K03251,54
2010,252,Ausländerinnen und Ausländer,Hameln-Pyrmont,K03252,39
2010,254,Ausländerinnen und Ausländer,Hildesheim,K03254,91
2010,255,Ausländerinnen und Ausländer,Holzminden,K03255,14
2010,256,Ausländerinnen und Ausländer,Nienburg (Weser),K03256,15
2010,257,Ausländerinnen und Ausländer,Schaumburg,K03257,12
2010,2,Ausländerinnen und Ausländer,Statistische Region Hannover,K032,622
2010,351,Ausländerinnen und Ausländer,Celle,K03351,33
2010,352,Ausländerinnen und Ausländer,Cuxhaven,K03352,47
2010,353,Ausländerinnen und Ausländer,Harburg,K03353,60
2010,354,Ausländerinnen und Ausländer,Lüchow-Dannenberg,K03354,4
2010,355,Ausländerinnen und Ausländer,Lüneburg,K03355,21
2010,356,Ausländerinnen und Ausländer,Osterholz,K03356,24
2010,357,Ausländerinnen und Ausländer,Rotenburg (Wümme),K03357,10
2010,358,Ausländerinnen und Ausländer,Heidekreis,K03358,18
2010,359,Ausländerinnen und Ausländer,Stade,K03359,29
2010,360,Ausländerinnen und Ausländer,Uelzen,K03360,21
2010,361,Ausländerinnen und Ausländer,Verden,K03361,22
2010,3,Ausländerinnen und Ausländer,Statistische Region Lüneburg,K033,289
2010,401,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,29
2010,402,Ausländerinnen und Ausländer,Emden  Stadt,K03402,12
2010,403,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,113
2010,404,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,93
2010,405,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,21
2010,451,Ausländerinnen und Ausländer,Ammerland,K03451,12
2010,452,Ausländerinnen und Ausländer,Aurich,K03452,9
2010,453,Ausländerinnen und Ausländer,Cloppenburg,K03453,23
2010,454,Ausländerinnen und Ausländer,Emsland,K03454,65
2010,455,Ausländerinnen und Ausländer,Friesland,K03455,12
2010,456,Ausländerinnen und Ausländer,Grafschaft Bentheim,K03456,87
2010,457,Ausländerinnen und Ausländer,Leer,K03457,46
2010,458,Ausländerinnen und Ausländer,Oldenburg,K03458,25
2010,459,Ausländerinnen und Ausländer,Osnabrück,K03459,75
2010,460,Ausländerinnen und Ausländer,Vechta,K03460,62
2010,461,Ausländerinnen und Ausländer,Wesermarsch,K03461,17
2010,462,Ausländerinnen und Ausländer,Wittmund,K03462,9
2010,4,Ausländerinnen und Ausländer,Statistische Region Weser-Ems,K034,710
2010,0,Ausländerinnen und Ausländer,Niedersachsen,K030,2039
2011,101,Ausländerinnen und Ausländer,"Braunschweig, Stadt",K03101,84
2011,102,Ausländerinnen und Ausländer,"Salzgitter, Stadt",K03102,28
2011,103,Ausländerinnen und Ausländer,"Wolfsburg, Stadt",K03103,53
2011,151,Ausländerinnen und Ausländer,Gifhorn,K03151,4
2011,153,Ausländerinnen und Ausländer,Goslar,K03153,39
2011,154,Ausländerinnen und Ausländer,Helmstedt,K03154,10
2011,155,Ausländerinnen und Ausländer,Northeim,K03155,36
2011,157,Ausländerinnen und Ausländer,Peine,K03157,30
2011,158,Ausländerinnen und Ausländer,Wolfenbüttel,K03158,13
2011,159,Ausländerinnen und Ausländer,Göttingen,K03159,126
2011,1,Ausländerinnen und Ausländer,Statistische Region Braunschweig,K031,423
2011,241,Ausländerinnen und Ausländer,Hannover  Region,K03241,415
2011,241001,Ausländerinnen und Ausländer,"dav. Hannover, Lhst.",K03241001,284
2011,241999,Ausländerinnen und Ausländer,"dav. Hannover, Umland",K03241999,131
2011,251,Ausländerinnen und Ausländer,Diepholz,K03251,45
2011,252,Ausländerinnen und Ausländer,Hameln-Pyrmont,K03252,43
2011,254,Ausländerinnen und Ausländer,Hildesheim,K03254,90
2011,255,Ausländerinnen und Ausländer,Holzminden,K03255,14
2011,256,Ausländerinnen und Ausländer,Nienburg (Weser),K03256,12
2011,257,Ausländerinnen und Ausländer,Schaumburg,K03257,6
2011,2,Ausländerinnen und Ausländer,Statistische Region Hannover,K032,625
2011,351,Ausländerinnen und Ausländer,Celle,K03351,40
2011,352,Ausländerinnen und Ausländer,Cuxhaven,K03352,45
