Year,Gebietseinheit,Units,GeoCode
2016,"Osnabrück, Stadt",%,K03404
2016,"Wilhelmshaven, Stadt",%,K03405
2016,"Ammerland",%,K03451
2016,"Aurich",%,K03452
2016,"Cloppenburg",%,K03453
2016,"Emsland",%,K03454
2016,"Friesland",%,K03455
2016,"Grafschaft Bentheim",%,K03456
2016,"Leer",%,K03457
2016,"Oldenburg",%,K03458
2016,"Osnabrück",%,K03459
2016,"Vechta",%,K03460
2016,"Wesermarsch",%,K03461
2016,"Wittmund",%,K03462
2016,"Statistische Region Weser-Ems",%,K034
2016,"Niedersachsen",%,K030
2017,"Braunschweig, Stadt",%,K03101
2017,"Salzgitter, Stadt",%,K03102
2017,"Wolfsburg, Stadt",%,K03103
2017,"Gifhorn",%,K03151
2017,"Goslar",%,K03153
2017,"Helmstedt",%,K03154
2017,"Northeim",%,K03155
2017,"Peine",%,K03157
2017,"Wolfenbüttel",%,K03158
2017,"Göttingen",%,K03159
2017,"Statistische Region Braunschweig",%,K031
2017,"Hannover  Region",%,K03241
2017,"dav. Hannover, Lhst.",%,K03241001
2017,"dav. Hannover, Umland",%,K03241999
2017,"Diepholz",%,K03251
2017,"Hameln-Pyrmont",%,K03252
2017,"Hildesheim",%,K03254
2017,"Holzminden",%,K03255
2017,"Nienburg (Weser)",%,K03256
2017,"Schaumburg",%,K03257
2017,"Statistische Region Hannover",%,K032
2017,"Celle",%,K03351
2017,"Cuxhaven",%,K03352
2017,"Harburg",%,K03353
2017,"Lüchow-Dannenberg",%,K03354
2017,"Lüneburg",%,K03355
2017,"Osterholz",%,K03356
2017,"Rotenburg (Wümme)",%,K03357
2017,"Heidekreis",%,K03358
2017,"Stade",%,K03359
2017,"Uelzen",%,K03360
2017,"Verden",%,K03361
2017,"Statistische Region Lüneburg",%,K033
2017,"Delmenhorst, Stadt",%,K03401
2017,"Emden  Stadt",%,K03402
2017,"Oldenburg(Oldb), Stadt",%,K03403
2017,"Osnabrück, Stadt",%,K03404
2017,"Wilhelmshaven, Stadt",%,K03405
2017,"Ammerland",%,K03451
2017,"Aurich",%,K03452
2017,"Cloppenburg",%,K03453
2017,"Emsland",%,K03454
2017,"Friesland",%,K03455
2017,"Grafschaft Bentheim",%,K03456
2017,"Leer",%,K03457
2017,"Oldenburg",%,K03458
2017,"Osnabrück",%,K03459
2017,"Vechta",%,K03460
2017,"Wesermarsch",%,K03461
2017,"Wittmund",%,K03462
2017,"Statistische Region Weser-Ems",%,K034
2017,"Niedersachsen",%,K030
2018,"Braunschweig, Stadt",%,K03101
2018,"Salzgitter, Stadt",%,K03102
2018,"Wolfsburg, Stadt",%,K03103
2018,"Gifhorn",%,K03151
2018,"Goslar",%,K03153
2018,"Helmstedt",%,K03154
2018,"Northeim",%,K03155
2018,"Peine",%,K03157
2018,"Wolfenbüttel",%,K03158
2018,"Göttingen",%,K03159
2018,"Statistische Region Braunschweig",%,K031
2018,"Hannover  Region",%,K03241
2018,"dav. Hannover, Lhst.",%,K03241001
2018,"dav. Hannover, Umland",%,K03241999
2018,"Diepholz",%,K03251
2018,"Hameln-Pyrmont",%,K03252
2018,"Hildesheim",%,K03254
2018,"Holzminden",%,K03255
2018,"Nienburg (Weser)",%,K03256
2018,"Schaumburg",%,K03257
2018,"Statistische Region Hannover",%,K032
2018,"Celle",%,K03351
2018,"Cuxhaven",%,K03352
2018,"Harburg",%,K03353
2018,"Lüchow-Dannenberg",%,K03354
2018,"Lüneburg",%,K03355
2018,"Osterholz",%,K03356
2018,"Rotenburg (Wümme)",%,K03357
2018,"Heidekreis",%,K03358
2018,"Stade",%,K03359
2018,"Uelzen",%,K03360
2018,"Verden",%,K03361
2018,"Statistische Region Lüneburg",%,K033
2018,"Delmenhorst, Stadt",%,K03401
2018,"Emden  Stadt",%,K03402
2018,"Oldenburg(Oldb), Stadt",%,K03403
2018,"Osnabrück, Stadt",%,K03404
2018,"Wilhelmshaven, Stadt",%,K03405
2018,"Ammerland",%,K03451
2018,"Aurich",%,K03452
2018,"Cloppenburg",%,K03453
2018,"Emsland",%,K03454
2018,"Friesland",%,K03455
2018,"Grafschaft Bentheim",%,K03456
2018,"Leer",%,K03457
2018,"Oldenburg",%,K03458
2018,"Osnabrück",%,K03459
2018,"Vechta",%,K03460
2018,"Wesermarsch",%,K03461
2018,"Wittmund",%,K03462
2018,"Statistische Region Weser-Ems",%,K034
2018,"Niedersachsen",%,K030
2019,"Braunschweig, Stadt",%,K03101
2019,"Salzgitter, Stadt",%,K03102
2019,"Wolfsburg, Stadt",%,K03103
2019,"Gifhorn",%,K03151
2019,"Goslar",%,K03153
2019,"Helmstedt",%,K03154
2019,"Northeim",%,K03155
2019,"Peine",%,K03157
2019,"Wolfenbüttel",%,K03158
2019,"Göttingen",%,K03159
2019,"Statistische Region Braunschweig",%,K031
2019,"Hannover  Region",%,K03241
2019,"dav. Hannover, Lhst.",%,K03241001
2019,"dav. Hannover, Umland",%,K03241999
2019,"Diepholz",%,K03251
2019,"Hameln-Pyrmont",%,K03252
2019,"Hildesheim",%,K03254
2019,"Holzminden",%,K03255
2019,"Nienburg (Weser)",%,K03256
2019,"Schaumburg",%,K03257
2019,"Statistische Region Hannover",%,K032
2019,"Celle",%,K03351
2019,"Cuxhaven",%,K03352
