Migration und Teilhabe in Niedersachsen - Integrationsmonitoring 2021,Gebietseinheit,Land der Staatsangehörigkeit,Units,GeoCode,Value,Value_2
2016,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,55,55
2016,"Ammerland",Ukraine,Anzahl,K03451,60,60
2016,"Aurich",Ukraine,Anzahl,K03452,60,60
2016,"Cloppenburg",Ukraine,Anzahl,K03453,190,190
2016,"Emsland",Ukraine,Anzahl,K03454,160,160
2016,"Friesland",Ukraine,Anzahl,K03455,25,25
2016,"Grafschaft Bentheim",Ukraine,Anzahl,K03456,100,100
2016,"Leer",Ukraine,Anzahl,K03457,80,80
2016,"Oldenburg",Ukraine,Anzahl,K03458,100,100
2016,"Osnabrück",Ukraine,Anzahl,K03459,305,305
2016,"Vechta",Ukraine,Anzahl,K03460,145,145
2016,"Wesermarsch",Ukraine,Anzahl,K03461,65,65
2016,"Wittmund",Ukraine,Anzahl,K03462,10,10
2016,"Statistische Region Weser-Ems",Ukraine,Anzahl,K034,2385,2385
2016,"Niedersachsen",Ukraine,Anzahl,K030,10390,10390
2017,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,385,385
2017,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,95,95
2017,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,150,150
2017,"Gifhorn",Ukraine,Anzahl,K03151,115,115
2017,"Goslar",Ukraine,Anzahl,K03153,110,110
2017,"Helmstedt",Ukraine,Anzahl,K03154,50,50
2017,"Northeim",Ukraine,Anzahl,K03155,90,90
2017,"Peine",Ukraine,Anzahl,K03157,70,70
2017,"Wolfenbüttel",Ukraine,Anzahl,K03158,55,55
2017,"Göttingen",Ukraine,Anzahl,K03159,485,485
2017,"Statistische Region Braunschweig",Ukraine,Anzahl,K031,1605,1605
2017,"Region Hannover",Ukraine,Anzahl,K03241,4395,4395
2017,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3400,3400
2017,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,995,995
2017,"Diepholz",Ukraine,Anzahl,K03251,165,165
2017,"Hameln-Pyrmont",Ukraine,Anzahl,K03252,380,380
2017,"Hildesheim",Ukraine,Anzahl,K03254,265,265
2017,"Holzminden",Ukraine,Anzahl,K03255,40,40
2017,"Nienburg (Weser)",Ukraine,Anzahl,K03256,70,70
2017,"Schaumburg",Ukraine,Anzahl,K03257,90,90
2017,"Statistische Region Hannover",Ukraine,Anzahl,K032,5405,5405
2017,"Celle",Ukraine,Anzahl,K03351,125,125
2017,"Cuxhaven",Ukraine,Anzahl,K03352,95,95
2017,"Harburg",Ukraine,Anzahl,K03353,180,180
2017,"Lüchow-Dannenberg",Ukraine,Anzahl,K03354,30,30
2017,"Lüneburg",Ukraine,Anzahl,K03355,100,100
2017,"Osterholz",Ukraine,Anzahl,K03356,60,60
2017,"Rotenburg (Wümme)",Ukraine,Anzahl,K03357,90,90
2017,"Heidekreis",Ukraine,Anzahl,K03358,125,125
2017,"Stade",Ukraine,Anzahl,K03359,145,145
2017,"Uelzen",Ukraine,Anzahl,K03360,55,55
2017,"Verden",Ukraine,Anzahl,K03361,75,75
2017,"Statistische Region Lüneburg",Ukraine,Anzahl,K033,1090,1090
2017,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,210,210
2017,"Emden, Stadt",Ukraine,Anzahl,K03402,50,50
2017,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,215,215
2017,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,565,565
2017,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,50,50
2017,"Ammerland",Ukraine,Anzahl,K03451,60,60
2017,"Aurich",Ukraine,Anzahl,K03452,70,70
2017,"Cloppenburg",Ukraine,Anzahl,K03453,225,225
2017,"Emsland",Ukraine,Anzahl,K03454,180,180
2017,"Friesland",Ukraine,Anzahl,K03455,30,30
2017,"Grafschaft Bentheim",Ukraine,Anzahl,K03456,90,90
2017,"Leer",Ukraine,Anzahl,K03457,85,85
2017,"Oldenburg",Ukraine,Anzahl,K03458,110,110
2017,"Osnabrück",Ukraine,Anzahl,K03459,325,325
2017,"Vechta",Ukraine,Anzahl,K03460,150,150
2017,"Wesermarsch",Ukraine,Anzahl,K03461,60,60
2017,"Wittmund",Ukraine,Anzahl,K03462,10,10
2017,"Statistische Region Weser-Ems",Ukraine,Anzahl,K034,2495,2495
2017,"Niedersachsen",Ukraine,Anzahl,K030,10595,10595
