Year,Gebietseinheit,Land der Staatsangehörigkeit,Units,GeoCode,Value_2,Value
2016,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3400.0,3400.0
2016,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,985.0,985.0
2016,Diepholz,Ukraine,Anzahl,K03251,160.0,160.0
2016,Hameln-Pyrmont,Ukraine,Anzahl,K03252,375.0,375.0
2016,Hildesheim,Ukraine,Anzahl,K03254,235.0,235.0
2016,Holzminden,Ukraine,Anzahl,K03255,45.0,45.0
2016,Nienburg (Weser),Ukraine,Anzahl,K03256,65.0,65.0
2016,Schaumburg,Ukraine,Anzahl,K03257,90.0,90.0
2016,Statistische Region Hannover,Ukraine,Anzahl,K032,5360.0,5360.0
2016,Celle,Ukraine,Anzahl,K03351,120.0,120.0
2016,Cuxhaven,Ukraine,Anzahl,K03352,95.0,95.0
2016,Harburg,Ukraine,Anzahl,K03353,180.0,180.0
2016,Lüchow-Dannenberg,Ukraine,Anzahl,K03354,25.0,25.0
2016,Lüneburg,Ukraine,Anzahl,K03355,100.0,100.0
2016,Osterholz,Ukraine,Anzahl,K03356,60.0,60.0
2016,Rotenburg (Wümme),Ukraine,Anzahl,K03357,90.0,90.0
2016,Heidekreis,Ukraine,Anzahl,K03358,120.0,120.0
2016,Stade,Ukraine,Anzahl,K03359,145.0,145.0
2016,Uelzen,Ukraine,Anzahl,K03360,55.0,55.0
2016,Verden,Ukraine,Anzahl,K03361,75.0,75.0
2016,Statistische Region Lüneburg,Ukraine,Anzahl,K033,1060.0,1060.0
2016,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,205.0,205.0
2016,"Emden, Stadt",Ukraine,Anzahl,K03402,40.0,40.0
2016,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,210.0,210.0
2016,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,570.0,570.0
2016,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,55.0,55.0
2016,Ammerland,Ukraine,Anzahl,K03451,60.0,60.0
2016,Aurich,Ukraine,Anzahl,K03452,60.0,60.0
2016,Cloppenburg,Ukraine,Anzahl,K03453,190.0,190.0
2016,Emsland,Ukraine,Anzahl,K03454,160.0,160.0
2016,Friesland,Ukraine,Anzahl,K03455,25.0,25.0
2016,Grafschaft Bentheim,Ukraine,Anzahl,K03456,100.0,100.0
2016,Leer,Ukraine,Anzahl,K03457,80.0,80.0
2016,Oldenburg,Ukraine,Anzahl,K03458,100.0,100.0
2016,Osnabrück,Ukraine,Anzahl,K03459,305.0,305.0
2016,Vechta,Ukraine,Anzahl,K03460,145.0,145.0
2016,Wesermarsch,Ukraine,Anzahl,K03461,65.0,65.0
2016,Wittmund,Ukraine,Anzahl,K03462,10.0,10.0
2016,Statistische Region Weser-Ems,Ukraine,Anzahl,K034,2385.0,2385.0
2016,Niedersachsen,Ukraine,Anzahl,K030,10390.0,10390.0
2017,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,385.0,385.0
2017,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,95.0,95.0
2017,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,150.0,150.0
2017,Gifhorn,Ukraine,Anzahl,K03151,115.0,115.0
2017,Goslar,Ukraine,Anzahl,K03153,110.0,110.0
2017,Helmstedt,Ukraine,Anzahl,K03154,50.0,50.0
2017,Northeim,Ukraine,Anzahl,K03155,90.0,90.0
2017,Peine,Ukraine,Anzahl,K03157,70.0,70.0
2017,Wolfenbüttel,Ukraine,Anzahl,K03158,55.0,55.0
2017,Göttingen,Ukraine,Anzahl,K03159,485.0,485.0
2017,Statistische Region Braunschweig,Ukraine,Anzahl,K031,1605.0,1605.0
2017,Region Hannover,Ukraine,Anzahl,K03241,4395.0,4395.0
2017,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3400.0,3400.0
2017,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,995.0,995.0
2017,Diepholz,Ukraine,Anzahl,K03251,165.0,165.0
2017,Hameln-Pyrmont,Ukraine,Anzahl,K03252,380.0,380.0
2017,Hildesheim,Ukraine,Anzahl,K03254,265.0,265.0
2017,Holzminden,Ukraine,Anzahl,K03255,40.0,40.0
2017,Nienburg (Weser),Ukraine,Anzahl,K03256,70.0,70.0
