Year,Gebietseinheit,GeoCode,Value
2013,Wolfenbüttel,K03158,4.2
2013,Göttingen,K03159,6.4
2013,Statistische Region Braunschweig,K031,6.6
2013,Hannover Region,K03241,11.3
2013,Hannover Landeshauptstadt,K03241001,15.9
2013,Diepholz,K03251,5.1
2013,Hameln-Pyrmont,K03252,7.2
2013,Hildesheim,K03254,5.5
2013,Holzminden,K03255,4.3
2013,Nienburg (Weser),K03256,4.8
2013,Schaumburg,K03257,5.6
2013,Statistische Region Hannover,K032,8.6
2013,Celle,K03351,4.8
2013,Cuxhaven,K03352,4.4
2013,Harburg,K03353,4.7
2013,Lüchow-Dannenberg,K03354,3.8
2013,Lüneburg,K03355,4.2
2013,Osterholz,K03356,4.0
2013,Rotenburg (Wümme),K03357,4.4
2013,Heidekreis,K03358,5.3
2013,Stade,K03359,5.3
2013,Uelzen,K03360,3.2
2013,Verden,K03361,5.3
2013,Statistische Region Lüneburg,K033,4.6
2013,Delmenhorst.Stadt,K03401,9.6
2013,Emden Stadt,K03402,6.4
2013,Oldenburg (Oldb) Stadt,K03403,6.7
2013,Osnabrück Stadt,K03404,10.6
2013,Wilhelmshaven Stadt,K03405,5.8
2013,Ammerland,K03451,3.7
2013,Aurich,K03452,3.5
2013,Cloppenburg,K03453,7.0
2013,Emsland,K03454,7.2
2013,Friesland,K03455,2.9
2013,Grafschaft Bentheim,K03456,12.9
2013,Leer,K03457,5.0
2013,Oldenburg,K03458,5.6
2013,Osnabrück,K03459,5.8
2013,Vechta,K03460,8.7
2013,Wesermarsch,K03461,5.5
2013,Wittmund,K03462,2.9
2013,Statistische Region Weser-Ems,K034,6.6
2013,Niedersachsen,K030,6.7
2014,Braunschweig Stadt,K03101,9.2
2014,Salzgitter Stadt,K03102,11.7
2014,Wolfsburg Stadt,K03103,12.3
2014,Gifhorn,K03151,5.1
2014,Goslar,K03153,6.2
2014,Helmstedt,K03154,4.5
2014,Northeim,K03155,4.4
2014,Peine,K03157,5.6
2014,Wolfenbüttel,K03158,4.5
2014,Göttingen,K03159,6.9
2014,Statistische Region Braunschweig,K031,7.1
2014,Hannover Region,K03241,12.1
2014,Hannover Landeshauptstadt,K03241001,16.9
2014,Diepholz,K03251,5.5
2014,Hameln-Pyrmont,K03252,7.8
2014,Hildesheim,K03254,5.9
2014,Holzminden,K03255,4.3
2014,Nienburg (Weser),K03256,5.2
2014,Schaumburg,K03257,6.1
2014,Statistische Region Hannover,K032,9.2
2014,Celle,K03351,5.3
2014,Cuxhaven,K03352,4.9
2014,Harburg,K03353,4.9
2014,Lüchow-Dannenberg,K03354,4.6
2014,Lüneburg,K03355,4.6
2014,Osterholz,K03356,4.5
2014,Rotenburg (Wümme),K03357,4.9
2014,Heidekreis,K03358,5.7
2014,Stade,K03359,5.8
2014,Uelzen,K03360,3.8
2014,Verden,K03361,5.7
2014,Statistische Region Lüneburg,K033,5.1
2014,Delmenhorst.Stadt,K03401,10.8
2014,Emden Stadt,K03402,7.2
2014,Oldenburg (Oldb) Stadt,K03403,7.1
2014,Osnabrück Stadt,K03404,11.2
2014,Wilhelmshaven Stadt,K03405,6.2
2014,Ammerland,K03451,4.1
2014,Aurich,K03452,4.2
2014,Cloppenburg,K03453,7.9
2014,Emsland,K03454,7.9
2014,Friesland,K03455,3.1
2014,Grafschaft Bentheim,K03456,13.4
2014,Leer,K03457,5.6
2014,Oldenburg,K03458,6.1
2014,Osnabrück,K03459,6.2
2014,Vechta,K03460,9.8
2014,Wesermarsch,K03461,5.9
2014,Wittmund,K03462,3.4
2014,Statistische Region Weser-Ems,K034,7.2
2014,Niedersachsen,K030,7.2
2015,Braunschweig Stadt,K03101,10.3
2015,Salzgitter Stadt,K03102,13.4
2015,Wolfsburg Stadt,K03103,13.6
2015,Gifhorn,K03151,5.6
2015,Goslar,K03153,7.6
2015,Helmstedt,K03154,5.7
2015,Northeim,K03155,5.3
2015,Peine,K03157,6.8
2015,Wolfenbüttel,K03158,5.5
2015,Göttingen,K03159,7.9
2015,Statistische Region Braunschweig,K031,8.1
2015,Hannover Region,K03241,13.5
2015,Hannover Landeshauptstadt,K03241001,18.2
2015,Diepholz,K03251,6.4
2015,Hameln-Pyrmont,K03252,9.0
2015,Hildesheim,K03254,7.0
2015,Holzminden,K03255,5.3
2015,Nienburg (Weser),K03256,6.1
2015,Schaumburg,K03257,6.8
2015,Statistische Region Hannover,K032,10.4
2015,Celle,K03351,6.1
2015,Cuxhaven,K03352,5.9
2015,Harburg,K03353,5.2
2015,Lüchow-Dannenberg,K03354,5.5
2015,Lüneburg,K03355,5.2
2015,Osterholz,K03356,5.3
2015,Rotenburg (Wümme),K03357,5.9
2015,Heidekreis,K03358,6.6
2015,Stade,K03359,7.3
2015,Uelzen,K03360,4.4
2015,Verden,K03361,6.8
2015,Statistische Region Lüneburg,K033,5.9
2015,Delmenhorst.Stadt,K03401,13.1
2015,Emden Stadt,K03402,9.0
2015,Oldenburg (Oldb) Stadt,K03403,8.2
2015,Osnabrück Stadt,K03404,11.9
2015,Wilhelmshaven Stadt,K03405,7.8
2015,Ammerland,K03451,5.0
2015,Aurich,K03452,5.1
2015,Cloppenburg,K03453,9.0
2015,Emsland,K03454,9.4
2015,Friesland,K03455,4.0
2015,Grafschaft Bentheim,K03456,14.6
2015,Leer,K03457,6.4
2015,Oldenburg,K03458,7.2
2015,Osnabrück,K03459,6.8
2015,Vechta,K03460,11.3
2015,Wesermarsch,K03461,7.2
2015,Wittmund,K03462,4.4
2015,Statistische Region Weser-Ems,K034,8.3
2015,Niedersachsen,K030,8.3
2016,Braunschweig Stadt,K03101,11.3
2016,Salzgitter Stadt,K03102,16.2
2016,Wolfsburg Stadt,K03103,14.3
2016,Gifhorn,K03151,6.2
2016,Goslar,K03153,8.5
2016,Helmstedt,K03154,6.7
2016,Northeim,K03155,6.1
2016,Peine,K03157,7.4
2016,Wolfenbüttel,K03158,6.0
2016,Göttingen,K03159,8.5
2016,Statistische Region Braunschweig,K031,9.0
2016,Hannover Region,K03241,14.6
2016,Hannover Landeshauptstadt,K03241001,19.6
2016,Diepholz,K03251,7.2
2016,Hameln-Pyrmont,K03252,10.1
2016,Hildesheim,K03254,7.9
2016,Holzminden,K03255,6.0
2016,Nienburg (Weser),K03256,7.7
2016,Schaumburg,K03257,7.9
2016,Statistische Region Hannover,K032,11.5
2016,Celle,K03351,7.1
2016,Cuxhaven,K03352,6.6
2016,Harburg,K03353,6.3
2016,Lüchow-Dannenberg,K03354,5.7
2016,Lüneburg,K03355,6.4
2016,Osterholz,K03356,5.5
2016,Rotenburg (Wümme),K03357,6.5
2016,Heidekreis,K03358,7.9
2016,Stade,K03359,8.1
2016,Uelzen,K03360,5.4
2016,Verden,K03361,7.4
2016,Statistische Region Lüneburg,K033,6.8
2016,Delmenhorst.Stadt,K03401,14.5
2016,Emden Stadt,K03402,9.8
2016,Oldenburg (Oldb) Stadt,K03403,9.3
2016,Osnabrück Stadt,K03404,13.9
2016,Wilhelmshaven Stadt,K03405,9.0
2016,Ammerland,K03451,5.8
2016,Aurich,K03452,5.8
2016,Cloppenburg,K03453,10.4
2016,Emsland,K03454,10.6
2016,Friesland,K03455,4.8
2016,Grafschaft Bentheim,K03456,15.4
