Year,Series,Land der Staatsangehörigkeit,Geschlecht,Units,GeoCode,Value
2023,Alle Länder,Marshallinseln,weiblich,Anzahl,W544,
2023,Alle Länder,Föderierte Staaten von Mikronesien,weiblich,Anzahl,W545,
2023,Alle Länder,Übriges Ozeanien,weiblich,Anzahl,W599,
2023,Alle Länder,Unbekanntes Ausland,weiblich,Anzahl,W996,
2023,Alle Länder,Ohne Angabe,weiblich,Anzahl,W999,
2023,Alle Länder,Übriges Europa,ingesamt,Anzahl,W199,5.0
2023,Alle Länder,Übriges Europa,männlich,Anzahl,W199,5.0
2023,Alle Länder,Britische Überseegebiete,männlich,Anzahl,W185,15.0
2023,Alle Länder,Britische Überseegebiete,weiblich,Anzahl,W185,15.0
2023,Alle Länder,Malta,weiblich,Anzahl,W145,20.0
2023,Alle Länder,Sudan (einschl. Südsudan bis 2010),weiblich,Anzahl,W276,20.0
2023,Alle Länder,Malta,männlich,Anzahl,W145,25.0
2023,Alle Länder,Britische Überseegebiete,ingesamt,Anzahl,W185,30.0
2023,Alle Länder,Ehem. Sowjetunion,männlich,Anzahl,W159,30.0
2023,Alle Länder,Ehem. Tschechoslowakei,männlich,Anzahl,W162,35.0
2023,Alle Länder,Malta,ingesamt,Anzahl,W145,45.0
2023,Alle Länder,Burkina-Faso,weiblich,Anzahl,W258,45.0
2023,Alle Länder,Südsudan (ab 2011),weiblich,Anzahl,W278,45.0
2023,Alle Länder,Ehem. Sowjetunion,weiblich,Anzahl,W159,50.0
2023,Alle Länder,Ehem. Tschechoslowakei,weiblich,Anzahl,W162,50.0
2023,Alle Länder,Sierra Leone,weiblich,Anzahl,W272,50.0
2023,Alle Länder,Island,weiblich,Anzahl,W136,55.0
2023,Alle Länder,Zypern,weiblich,Anzahl,W181,55.0
2023,Alle Länder,Benin,weiblich,Anzahl,W229,60.0
2023,Alle Länder,Bolivien,männlich,Anzahl,W326,75.0
2023,Alle Länder,Ehem. Sowjetunion,ingesamt,Anzahl,W159,80.0
2023,Alle Länder,Zypern,männlich,Anzahl,W181,80.0
2023,Alle Länder,Ehem. Tschechoslowakei,ingesamt,Anzahl,W162,85.0
2023,Alle Länder,Island,männlich,Anzahl,W136,85.0
2023,Alle Länder,Burkina-Faso,männlich,Anzahl,W258,90.0
2023,Alle Länder,Benin,männlich,Anzahl,W229,95.0
2023,Alle Länder,Sierra Leone,männlich,Anzahl,W272,100.0
2023,Alle Länder,Sudan (einschl. Südsudan bis 2010),männlich,Anzahl,W276,110.0
2023,Alle Länder,Angola,weiblich,Anzahl,W223,110.0
2023,Alle Länder,Zypern,ingesamt,Anzahl,W181,130.0
2023,Alle Länder,Sudan (einschl. Südsudan bis 2010),ingesamt,Anzahl,W276,130.0
2023,Alle Länder,Bolivien,weiblich,Anzahl,W326,130.0
2023,Alle Länder,Burkina-Faso,ingesamt,Anzahl,W258,135.0
2023,Alle Länder,Senegal,weiblich,Anzahl,W269,135.0
2023,Alle Länder,Island,ingesamt,Anzahl,W136,140.0
2023,Alle Länder,Luxemburg,männlich,Anzahl,W143,140.0
2023,Alle Länder,Sierra Leone,ingesamt,Anzahl,W272,145.0
2023,Alle Länder,Taiwan,männlich,Anzahl,W465,145.0
2023,Alle Länder,Luxemburg,weiblich,Anzahl,W143,145.0
2023,Alle Länder,Angola,männlich,Anzahl,W223,150.0
2023,Alle Länder,"Serbien (2006, 2007)",männlich,Anzahl,W133,155.0
2023,Alle Länder,Kuba,männlich,Anzahl,W351,155.0
2023,Alle Länder,Benin,ingesamt,Anzahl,W229,160.0
2023,Alle Länder,"Kongo, Demokratische Volksrepublik",weiblich,Anzahl,W246,160.0
2023,Alle Länder,"Serbien (2006, 2007)",weiblich,Anzahl,W133,165.0
2023,Alle Länder,Südsudan (ab 2011),männlich,Anzahl,W278,170.0
2023,Alle Länder,"Kongo, Demokratische Volksrepublik",männlich,Anzahl,W246,175.0
2023,Alle Länder,Dominikanische Republik,männlich,Anzahl,W335,190.0
2023,Alle Länder,Bangladesch,weiblich,Anzahl,W460,195.0
2023,Alle Länder,Bolivien,ingesamt,Anzahl,W326,205.0
2023,Alle Länder,Äthiopien,männlich,Anzahl,W225,205.0
2023,Alle Länder,Estland,männlich,Anzahl,W127,210.0
2023,Alle Länder,Senegal,männlich,Anzahl,W269,210.0
2023,Alle Länder,Südsudan (ab 2011),ingesamt,Anzahl,W278,215.0
2023,Alle Länder,Äthiopien,weiblich,Anzahl,W225,215.0
2023,Alle Länder,Venezuela,männlich,Anzahl,W367,230.0
2023,Alle Länder,Argentinien,männlich,Anzahl,W323,235.0
2023,Alle Länder,Gambia,weiblich,Anzahl,W237,235.0
2023,Alle Länder,Israel,weiblich,Anzahl,W441,240.0
2023,Alle Länder,Kenia,männlich,Anzahl,W243,245.0
2023,Alle Länder,Angola,ingesamt,Anzahl,W223,260.0
2023,Alle Länder,Argentinien,weiblich,Anzahl,W323,260.0
2023,Alle Länder,Malaysia,männlich,Anzahl,W482,275.0
2023,Alle Länder,Kuba,weiblich,Anzahl,W351,275.0
2023,Alle Länder,Luxemburg,ingesamt,Anzahl,W143,280.0
2023,Alle Länder,Finnland,männlich,Anzahl,W128,280.0
2023,Alle Länder,Norwegen,männlich,Anzahl,W149,280.0
2023,Alle Länder,Peru,männlich,Anzahl,W361,290.0
2023,Alle Länder,Chile,weiblich,Anzahl,W332,295.0
2023,Alle Länder,Togo,männlich,Anzahl,W283,300.0
2023,Alle Länder,Südafrika,männlich,Anzahl,W263,305.0
2023,Alle Länder,Dominikanische Republik,weiblich,Anzahl,W335,305.0
2023,Alle Länder,Malaysia,weiblich,Anzahl,W482,305.0
2023,Alle Länder,Chile,männlich,Anzahl,W332,315.0
2023,Alle Länder,Südafrika,weiblich,Anzahl,W263,315.0
2023,Alle Länder,Venezuela,weiblich,Anzahl,W367,315.0
2023,Alle Länder,"Serbien (2006, 2007)",ingesamt,Anzahl,W133,320.0
2023,Alle Länder,Norwegen,weiblich,Anzahl,W149,330.0
2023,Alle Länder,Taiwan,weiblich,Anzahl,W465,330.0
2023,Alle Länder,"Kongo, Demokratische Volksrepublik",ingesamt,Anzahl,W246,335.0
2023,Alle Länder,Bangladesch,männlich,Anzahl,W460,335.0
2023,Alle Länder,Senegal,ingesamt,Anzahl,W269,340.0
2023,Alle Länder,Estland,weiblich,Anzahl,W127,340.0
2023,Alle Länder,Togo,weiblich,Anzahl,W283,340.0
2023,Alle Länder,Irland,weiblich,Anzahl,W135,345.0
2023,Alle Länder,Liberia,weiblich,Anzahl,W247,345.0
2023,Alle Länder,Die Palästinensischen Gebiete,weiblich,Anzahl,W459,365.0
2023,Alle Länder,Slowenien,weiblich,Anzahl,W131,415.0
2023,Alle Länder,Äthiopien,ingesamt,Anzahl,W225,420.0
2023,Alle Länder,Thailand,männlich,Anzahl,W476,420.0
2023,Alle Länder,Australien und Ozeanien,weiblich,Anzahl,0,425.0
2023,Alle Länder,Kuba,ingesamt,Anzahl,W351,430.0
2023,Alle Länder,Israel,männlich,Anzahl,W441,430.0
2023,Alle Länder,Nepal,weiblich,Anzahl,W458,445.0
2023,Alle Länder,Taiwan,ingesamt,Anzahl,W465,470.0
2023,Alle Länder,Argentinien,ingesamt,Anzahl,W323,495.0
2023,Alle Länder,Dominikanische Republik,ingesamt,Anzahl,W335,495.0
2023,Alle Länder,Jordanien,weiblich,Anzahl,W445,500.0
2023,Alle Länder,Slowenien,männlich,Anzahl,W131,515.0
2023,Alle Länder,Nepal,männlich,Anzahl,W458,530.0
