Year,Gebietseinheit,Nationalität,GeoCode,Value
2010,Delmenhorst  Stadt,Ausländerinnen und Ausländer,K03401,29
2010,Emden  Stadt,Ausländerinnen und Ausländer,K03402,12
2010,Oldenburg(Oldb)  Stadt,Ausländerinnen und Ausländer,K03403,113
2010,Osnabrück  Stadt,Ausländerinnen und Ausländer,K03404,93
2010,Wilhelmshaven  Stadt,Ausländerinnen und Ausländer,K03405,21
2010,Ammerland,Ausländerinnen und Ausländer,K03451,12
2010,Aurich,Ausländerinnen und Ausländer,K03452,9
2010,Cloppenburg,Ausländerinnen und Ausländer,K03453,23
2010,Emsland,Ausländerinnen und Ausländer,K03454,65
2010,Friesland,Ausländerinnen und Ausländer,K03455,12
2010,Grafschaft Bentheim,Ausländerinnen und Ausländer,K03456,87
2010,Leer,Ausländerinnen und Ausländer,K03457,46
2010,Oldenburg,Ausländerinnen und Ausländer,K03458,25
2010,Osnabrück,Ausländerinnen und Ausländer,K03459,75
2010,Vechta,Ausländerinnen und Ausländer,K03460,62
2010,Wesermarsch,Ausländerinnen und Ausländer,K03461,17
2010,Wittmund,Ausländerinnen und Ausländer,K03462,9
2010,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,K034,710
2010,Niedersachsen,Ausländerinnen und Ausländer,K030,2039
2011,Braunschweig  Stadt,Ausländerinnen und Ausländer,K03101,84
2011,Salzgitter  Stadt,Ausländerinnen und Ausländer,K03102,28
2011,Wolfsburg  Stadt,Ausländerinnen und Ausländer,K03103,53
2011,Gifhorn,Ausländerinnen und Ausländer,K03151,4
2011,Goslar,Ausländerinnen und Ausländer,K03153,39
2011,Helmstedt,Ausländerinnen und Ausländer,K03154,10
2011,Northeim,Ausländerinnen und Ausländer,K03155,36
2011,Peine,Ausländerinnen und Ausländer,K03157,30
2011,Wolfenbüttel,Ausländerinnen und Ausländer,K03158,13
2011,Göttingen,Ausländerinnen und Ausländer,K03159,126
2011,Statistische Region Braunschweig,Ausländerinnen und Ausländer,K031,423
2011,Hannover  Region,Ausländerinnen und Ausländer,K03241,415
2011,dav. Hannover  Lhst.,Ausländerinnen und Ausländer,K03241001,284
2011,dav. Hannover  Umland,Ausländerinnen und Ausländer,K03241999,131
2011,Diepholz,Ausländerinnen und Ausländer,K03251,45
2011,Hameln-Pyrmont,Ausländerinnen und Ausländer,K03252,43
2011,Hildesheim,Ausländerinnen und Ausländer,K03254,90
2011,Holzminden,Ausländerinnen und Ausländer,K03255,14
2011,Nienburg (Weser),Ausländerinnen und Ausländer,K03256,12
2011,Schaumburg,Ausländerinnen und Ausländer,K03257,6
2011,Statistische Region Hannover,Ausländerinnen und Ausländer,K032,625
2011,Celle,Ausländerinnen und Ausländer,K03351,40
2011,Cuxhaven,Ausländerinnen und Ausländer,K03352,45
2011,Harburg,Ausländerinnen und Ausländer,K03353,44
2011,Lüchow-Dannenberg,Ausländerinnen und Ausländer,K03354,5
2011,Lüneburg,Ausländerinnen und Ausländer,K03355,32
2011,Osterholz,Ausländerinnen und Ausländer,K03356,14
2011,Rotenburg (Wümme),Ausländerinnen und Ausländer,K03357,10
2011,Heidekreis,Ausländerinnen und Ausländer,K03358,18
2011,Stade,Ausländerinnen und Ausländer,K03359,26
2011,Uelzen,Ausländerinnen und Ausländer,K03360,17
2011,Verden,Ausländerinnen und Ausländer,K03361,20
2011,Statistische Region Lüneburg,Ausländerinnen und Ausländer,K033,271
2011,Delmenhorst  Stadt,Ausländerinnen und Ausländer,K03401,20
2011,Emden  Stadt,Ausländerinnen und Ausländer,K03402,13
2011,Oldenburg(Oldb)  Stadt,Ausländerinnen und Ausländer,K03403,84
2011,Osnabrück  Stadt,Ausländerinnen und Ausländer,K03404,82
2011,Wilhelmshaven  Stadt,Ausländerinnen und Ausländer,K03405,24
2011,Ammerland,Ausländerinnen und Ausländer,K03451,27
2011,Aurich,Ausländerinnen und Ausländer,K03452,14
2011,Cloppenburg,Ausländerinnen und Ausländer,K03453,17
2011,Emsland,Ausländerinnen und Ausländer,K03454,84
2011,Friesland,Ausländerinnen und Ausländer,K03455,15
2011,Grafschaft Bentheim,Ausländerinnen und Ausländer,K03456,56
2011,Leer,Ausländerinnen und Ausländer,K03457,41
2011,Oldenburg,Ausländerinnen und Ausländer,K03458,21
2011,Osnabrück,Ausländerinnen und Ausländer,K03459,65
2011,Vechta,Ausländerinnen und Ausländer,K03460,53
2011,Wesermarsch,Ausländerinnen und Ausländer,K03461,19
2011,Wittmund,Ausländerinnen und Ausländer,K03462,12
2011,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,K034,647
2011,Niedersachsen,Ausländerinnen und Ausländer,K030,1966
2012,Braunschweig  Stadt,Ausländerinnen und Ausländer,K03101,110
2012,Salzgitter  Stadt,Ausländerinnen und Ausländer,K03102,22
2012,Wolfsburg  Stadt,Ausländerinnen und Ausländer,K03103,60
